id,key,value,type
5954791,access,private,regular
5954791,highway,service,regular
5954791,cfcc,A74,tiger
5954791,county,"San Diego, CA",tiger
5954791,reviewed,no,tiger
5954791,source,tiger_import_dch_v0.6_20070809,tiger
5954791,tlid,195691983,tiger
5954791,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5955241,highway,residential,regular
5955241,cfcc,A41,tiger
5955241,county,"San Diego, CA",tiger
5955241,reviewed,no,tiger
5955241,separated,no,tiger
5955241,source,tiger_import_dch_v0.6_20070809,tiger
5955241,tlid,195282629,tiger
5955241,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5955635,highway,path,regular
5955635,name,Barker Valley Spur,regular
5955635,cfcc,A41,tiger
5955635,county,"San Diego, CA",tiger
5955635,name_base,Barker Valley,tiger
5955635,name_type,Spur,tiger
5955635,reviewed,no,tiger
5955635,separated,no,tiger
5955635,source,tiger_import_dch_v0.6_20070809,tiger
5955635,tlid,195702514;195715997;195715995;195424100:195424103:195424104,tiger
5955635,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5955974,highway,residential,regular
5955974,name,Red Mountain Lane,regular
5955974,cfcc,A41,tiger
5955974,county,"San Diego, CA",tiger
5955974,name_base,Red Mountain,tiger
5955974,name_type,Ln,tiger
5955974,reviewed,no,tiger
5955974,separated,no,tiger
5955974,source,tiger_import_dch_v0.6_20070809,tiger
5955974,tlid,195692057,tiger
5955974,zip_left,92028,tiger
5955974,zip_right,92028,tiger
5956641,highway,track,regular
5956641,name,Mira Monte Road,regular
5956641,cfcc,A51,tiger
5956641,county,"San Diego, CA",tiger
5956641,name_base,Mira Monte,tiger
5956641,name_type,Rd,tiger
5956641,reviewed,no,tiger
5956641,separated,no,tiger
5956641,source,tiger_import_dch_v0.6_20070809,tiger
5956641,tlid,195459297,tiger
5957193,highway,residential,regular
5957193,name,De Luz Road,regular
5957193,cfcc,A41,tiger
5957193,county,"San Diego, CA",tiger
5957193,name_base,De Luz,tiger
5957193,name_type,Rd,tiger
5957193,reviewed,no,tiger
5957193,separated,no,tiger
5957193,source,tiger_import_dch_v0.6_20070809,tiger
5957193,tlid,195710552:195710553,tiger
5957920,highway,residential,regular
5957920,name,Pate Road,regular
5957920,name_1,Pate Drive,regular
5957920,cfcc,A41,tiger
5957920,county,"San Diego, CA",tiger
5957920,name_base,Pate,tiger
5957920,name_base_1,Pate,tiger
5957920,name_type,Rd,tiger
5957920,name_type_1,Dr,tiger
5957920,reviewed,no,tiger
5957920,separated,no,tiger
5957920,source,tiger_import_dch_v0.6_20070809,tiger
5957920,tlid,195278983:195278993:195278997:195279002,tiger
5957920,zip_left,92055,tiger
5957920,zip_right,92055,tiger
5958824,highway,residential,regular
5958824,name,Lake Park Road,regular
5958824,cfcc,A41,tiger
5958824,county,"San Diego, CA",tiger
5958824,name_base,Lake Park,tiger
5958824,name_type,Rd,tiger
5958824,reviewed,no,tiger
5958824,separated,no,tiger
5958824,source,tiger_import_dch_v0.6_20070809,tiger
5958824,tlid,195422639:195422607,tiger
5958824,zip_left,92028,tiger
5958824,zip_right,92028,tiger
5959560,highway,residential,regular
5959560,name,Vanamed,regular
5959560,cfcc,A41,tiger
5959560,county,"San Diego, CA",tiger
5959560,name_base,Vanamed,tiger
5959560,reviewed,no,tiger
5959560,separated,no,tiger
5959560,source,tiger_import_dch_v0.6_20070809,tiger
5959560,tlid,195400561,tiger
5959560,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5960164,highway,residential,regular
5960164,name,Via Arroyo,regular
5960164,cfcc,A41,tiger
5960164,county,"San Diego, CA",tiger
5960164,name_base,Via Arroyo,tiger
5960164,reviewed,no,tiger
5960164,separated,no,tiger
5960164,source,tiger_import_dch_v0.6_20070809,tiger
5960164,tlid,195405337:195405338:195384943:195287231:195287232,tiger
5960164,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5960164,zip_left,92028,tiger
5960164,zip_right,92028,tiger
5961151,highway,residential,regular
5961151,name,Sweetgrass Court,regular
5961151,cfcc,A41,tiger
5961151,county,"San Diego, CA",tiger
5961151,name_base,Sweetgrass,tiger
5961151,name_type,Ct,tiger
5961151,reviewed,no,tiger
5961151,zip_left,92003,tiger
5961151,zip_right,92003,tiger
5962116,highway,tertiary,regular
5962116,name,Rancho Heights Road,regular
5962116,source,bing_imagery_0.25m_201005;survey;image,regular
5962116,source_ref,AM909_DSCX5444,regular
5962116,cfcc,A41,tiger
5962116,county,"San Diego, CA",tiger
5962116,name_base,Rancho Heights,tiger
5962116,name_type,Rd,tiger
5962116,separated,no,tiger
5962116,source,tiger_import_dch_v0.6_20070809,tiger
5962116,tlid,195307177:195307191:195307199:195307200:195388418:195388422:195397619:195397620:195439420:195439421:195711059:195753179,tiger
5962116,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5962116,zip_left,92059,tiger
5962116,zip_right,92059,tiger
5962703,highway,residential,regular
5962703,name,Golden Road,regular
5962703,cfcc,A41,tiger
5962703,county,"San Diego, CA",tiger
5962703,name_base,Golden,tiger
5962703,name_type,Rd,tiger
5962703,reviewed,no,tiger
5962703,separated,no,tiger
5962703,source,tiger_import_dch_v0.6_20070809,tiger
5962703,tlid,195461192:195461193:195692068:195412613,tiger
5962703,zip_left,92028,tiger
5962703,zip_right,92028,tiger
5963565,highway,residential,regular
5963565,name,3rd Street,regular
5963565,cfcc,A41,tiger
5963565,county,"San Diego, CA",tiger
5963565,name_base,3rd,tiger
5963565,name_type,St,tiger
5963565,reviewed,no,tiger
5963565,separated,no,tiger
5963565,source,tiger_import_dch_v0.6_20070809,tiger
5963565,tlid,195278935:195278936:195750214,tiger
5965213,highway,residential,regular
5965213,name,Round Meadow Court,regular
5965213,cfcc,A41,tiger
5965213,county,"San Diego, CA",tiger
5965213,name_base,Round Meadow,tiger
5965213,name_type,Ct,tiger
5965213,reviewed,no,tiger
5965213,separated,no,tiger
5965213,source,tiger_import_dch_v0.6_20070809,tiger
5965213,tlid,195454083,tiger
5965213,zip_left,92028,tiger
5965213,zip_right,92028,tiger
5966814,highway,residential,regular
5966814,name,Sparrow Road,regular
5966814,cfcc,A41,tiger
5966814,county,"San Diego, CA",tiger
5966814,name_base,Sparrow,tiger
5966814,name_type,Rd,tiger
5966814,reviewed,no,tiger
5966814,separated,no,tiger
5966814,source,tiger_import_dch_v0.6_20070809,tiger
5966814,tlid,195458950,tiger
5968687,highway,residential,regular
5968687,name,Spring Valley Road,regular
5968687,cfcc,A41,tiger
5968687,county,"San Diego, CA",tiger
5968687,name_base,Spring Valley,tiger
5968687,name_type,Rd,tiger
5968687,reviewed,no,tiger
5968687,separated,no,tiger
5968687,source,tiger_import_dch_v0.6_20070809,tiger
5968687,tlid,195309150,tiger
5970137,highway,tertiary,regular
5970137,name,McDonald Road,regular
5970137,cfcc,A41,tiger
5970137,county,"San Diego, CA",tiger
5970137,name_base,McDonald,tiger
5970137,name_type,Rd,tiger
5970137,reviewed,no,tiger
5970137,zip_left,92028,tiger
5970137,zip_right,92028,tiger
5972476,highway,residential,regular
5972476,name,Vista del Pacifico,regular
5972476,cfcc,A41,tiger
5972476,county,"San Diego, CA",tiger
5972476,name_base,Vista del Pacifico,tiger
5972476,reviewed,no,tiger
5972476,separated,no,tiger
5972476,source,tiger_import_dch_v0.6_20070809,tiger
5972476,tlid,195440225,tiger
5972476,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5972476,zip_left,92028,tiger
5972476,zip_right,92028,tiger
5973697,highway,residential,regular
5973697,name,Avowood Court,regular
5973697,cfcc,A41,tiger
5973697,county,"San Diego, CA",tiger
5973697,name_base,Avowood,tiger
5973697,name_type,Ct,tiger
5973697,reviewed,no,tiger
5973697,separated,no,tiger
5973697,source,tiger_import_dch_v0.6_20070809,tiger
5973697,tlid,195428825,tiger
5973697,zip_left,92028,tiger
5973697,zip_right,92028,tiger
5974899,highway,residential,regular
5974899,name,Rainbow Heights,regular
5974899,source,bing_imagery_0.25m_201005,regular
5974899,cfcc,A41,tiger
5974899,county,"San Diego, CA",tiger
5974899,name_base,Rainbow Heights,tiger
5974899,separated,no,tiger
5974899,source,tiger_import_dch_v0.6_20070809,tiger
5974899,tlid,195387380:195307072:195307085:195439537,tiger
5974899,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5976507,highway,residential,regular
5976507,name,Lookout Mountain Road,regular
5976507,cfcc,A41,tiger
5976507,county,"San Diego, CA",tiger
5976507,name_base,Lookout Mountain,tiger
5976507,name_type,Rd,tiger
5976507,reviewed,no,tiger
5976507,separated,no,tiger
5976507,source,tiger_import_dch_v0.6_20070809,tiger
5976507,tlid,195282189,tiger
5976507,zip_left,92028,tiger
5976507,zip_right,92028,tiger
5978156,highway,service,regular
5978156,name,Alta Vista,regular
5978156,cfcc,A73,tiger
5978156,county,"San Diego, CA",tiger
5978156,name_base,Alta Vista,tiger
5978156,reviewed,no,tiger
5978156,source,tiger_import_dch_v0.6_20070809,tiger
5978156,tlid,195422227,tiger
5978156,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5979505,highway,residential,regular
5979505,name,Snow Creek Road,regular
5979505,cfcc,A41,tiger
5979505,county,"San Diego, CA",tiger
5979505,name_base,Snow Creek,tiger
5979505,name_type,Rd,tiger
5979505,reviewed,no,tiger
5979505,separated,no,tiger
5979505,source,tiger_import_dch_v0.6_20070809,tiger
5979505,tlid,195428803,tiger
5979505,zip_left,92028,tiger
5979505,zip_right,92028,tiger
5980939,highway,residential,regular
5980939,name,Kentucky Street,regular
5980939,cfcc,A41,tiger
5980939,county,"San Diego, CA",tiger
5980939,name_base,Kentucky,tiger
5980939,name_type,St,tiger
5980939,reviewed,no,tiger
5980939,separated,no,tiger
5980939,source,tiger_import_dch_v0.6_20070809,tiger
5980939,tlid,195281827,tiger
5980939,zip_left,92028,tiger
5980939,zip_right,92028,tiger
5982655,highway,residential,regular
5982655,name,Brushwood Lane,regular
5982655,cfcc,A41,tiger
5982655,county,"San Diego, CA",tiger
5982655,name_base,Brushwood,tiger
5982655,name_type,Ln,tiger
5982655,reviewed,no,tiger
5982655,separated,no,tiger
5982655,source,tiger_import_dch_v0.6_20070809,tiger
